stime,station_id,lat,lon,station_id,states,RH,HPBL,TMP,goes_measurement,wind_direction,wind_speed,forest_perc,pop_density,num_vehicles,copd_heart,air_data_value_pred,air_data_value_real
2019-05-09 18:00,35-001-0026,35.1443,-106.60468,35-001-0026,New Mexico,48.7,1311.7444,288.2445,1.3226699,308.7486399,5.026175986,31.99,44.806827,655766,9336,4.932307754,3
2019-05-11 20:00,06-019-0500,36.985119,-119.658339,06-019-0500,California,39,987.1462,297.67014,0.101808205,219.766257,3.460449241,32.71,657.080463,15065827,16914,7.63049635,7
2019-05-15 20:00,48-303-1028,33.58553,-101.78698,48-303-1028,Texas,29.5,2010.6469,301.2694,-0.029579101,271.4559416,4.009727805,37.33,287.48889,8248322,14834,7.025191943,7
2019-05-24 20:00,06-079-2004,35.02083,-120.56388,06-079-2004,California,81.200005,158.71832,290.5847,0.13702463,153.3369539,7.786501815,32.71,657.080463,15065827,16914,30.19884829,2
2019-02-24 19:00,06-083-2004,34.63782,-120.4575,06-083-2004,California,60.9,298.31915,286.78964,0.14704242,136.4190268,2.555070079,32.71,657.080463,15065827,16914,5.70728973,3
2019-01-28 21:00,35-001-0026,35.1443,-106.60468,35-001-0026,New Mexico,27.5,1792.4401,284.4323,0.23635496,122.1064115,2.008134709,31.99,44.806827,655766,9336,4.642398388,7.6
2019-07-21 16:00,49-021-0005,37.74743,-113.055525,49-021-0005,Utah,14,1180.6174,300.01736,0.029988278,155.4387598,2.774703698,34.48,101.00961,937421,12540,6.314798219,5.9
2019-03-24 20:00,06-019-0500,36.985119,-119.658339,06-019-0500,California,56.7,655.2262,288.48535,0.17455284,208.6733942,1.907274558,32.71,657.080463,15065827,16914,7.381603367,11
2019-05-02 19:00,35-001-1012,35.1852,-106.50815,35-001-1012,New Mexico,22.300001,1710.0436,291.5125,0.19027309,233.0137768,4.126988306,31.99,44.806827,655766,9336,3.888116799,4
2019-04-03 18:00,42-101-0075,40.054171,-74.985166,42-101-0075,Pennsylvania,29.4,1888.7913,291.55475,0.30054593,194.8974319,7.651856219,58.6,740.996139,4424183,11376,6.177086473,10.9
2019-01-01 17:00,44-007-0030,41.829495,-71.417457,44-007-0030,Rhode Island,56.4,967.0913,286.7671,0.19212253,170.1678886,8.16229899,54.38,2653.444755,412255,6426,4.235289582,3
2019-04-07 20:00,31-055-0019,41.247486,-95.973142,31-055-0019,Nebraska,63.3,938.7922,293.21964,0.5505286,119.1254009,4.597851631,3.2,65.267748,683020,25287,5.926501764,6
2019-03-29 19:00,06-019-0500,36.985119,-119.658339,06-019-0500,California,60.3,910.34143,289.13687,0.07583898,148.1317101,6.114346734,32.71,657.080463,15065827,16914,5.379908425,5
2019-06-24 14:00,06-029-0018,35.642943,-117.715066,06-029-0018,California,30,59.629814,295.9918,0.38338545,160.9652415,1.046115138,32.71,657.080463,15065827,16914,10.3865901,7
2019-01-27 21:00,06-061-0003,38.93568,-121.09959,06-061-0003,California,38.3,223.23262,291.22113,0.047635023,101.7518833,1.755078902,32.71,657.080463,15065827,16914,4.928076681,4
2019-04-21 23:00,06-079-2007,35.04673,-120.58777,06-079-2007,California,80,169.41562,288.77298,0.0867815,144.5885056,8.400488845,32.71,657.080463,15065827,16914,58.45292391,52
2019-06-04 15:00,06-061-0003,38.93568,-121.09959,06-061-0003,California,63.7,62.3722,295.62292,0.19042721,143.8740734,1.249727273,32.71,657.080463,15065827,16914,10.6686149,10
2019-06-25 22:00,16-053-0003,42.68,-114.2525,16-053-0003,Idaho,20.5,2821.6897,299.33777,0.24752866,139.5060504,2.951162151,40.55,55.943784,598774,6001,3.536675717,2
2019-08-26 22:00,49-021-0005,37.74743,-113.055525,49-021-0005,Utah,13.1,2230.8098,304.98416,-0.015245941,93.3306328,3.62437945,34.48,101.00961,937421,12540,6.107928155,6.3
2019-06-15 16:00,42-101-0075,40.054171,-74.985166,42-101-0075,Pennsylvania,52.5,700.845,297.99374,0.43000674,241.7968986,4.45395595,58.6,740.996139,4424183,11376,9.822373016,9
2019-02-21 20:00,35-001-1012,35.1852,-106.50815,35-001-1012,New Mexico,21.1,1848.1398,279.52673,0.12754625,252.5447013,6.080858136,31.99,44.806827,655766,9336,4.009286574,2.1
2019-07-14 20:00,06-065-0010,33.747236,-115.820124,06-065-0010,California,23.6,1769.806,308.3467,-0.05,249.5183078,4.413292523,32.71,657.080463,15065827,16914,5.644302208,8
2019-04-24 23:00,48-201-1034,29.767997,-95.220582,48-201-1034,Texas,74.1,920.535,298.3992,0.685923,316.1826455,5.811908101,37.33,287.48889,8248322,14834,10.15078175,11
2019-06-13 14:00,06-061-0003,38.93568,-121.09959,06-061-0003,California,59.4,44.81479,293.95792,0.17802055,301.7403261,2.653097179,32.71,657.080463,15065827,16914,10.0662219,10
2019-07-31 22:00,48-303-1028,33.58553,-101.78698,48-303-1028,Texas,17.5,3061.769,309.7372,0.154209,311.2801192,5.142007742,37.33,287.48889,8248322,14834,7.559357421,9
2019-03-20 14:00,35-001-1012,35.1852,-106.50815,35-001-1012,New Mexico,93.5,39.944263,275.87994,1.8084561,136.6985755,2.374444986,31.99,44.806827,655766,9336,5.959303777,5.1
2019-03-29 21:00,35-049-0021,35.61975,-106.07968,35-049-0021,New Mexico,11.400001,2676.4348,291.53918,-0.05,168.4805085,12.35968326,31.99,44.806827,655766,9336,4.453059449,2
2019-03-27 14:00,11-001-0051,38.89477,-76.953426,11-001-0051,Maryland,32.7,484.53204,278.22723,0.14056939,56.15076554,2.116812872,39.36,1613.304771,1922462,9951,6.241353114,5
2019-09-15 16:00,49-021-0005,37.74743,-113.055525,49-021-0005,Utah,20.2,102.61188,295.10602,0.15027894,142.6853363,2.411808625,34.48,101.00961,937421,12540,6.783560146,9.2
2019-06-23 19:00,32-031-1007,39.621434,-119.71877,32-031-1007,Nevada,15,1709.6945,296.9423,0.18765305,288.7679801,1.135033839,15.89,72.778719,683020,5397,3.687617917,3
2019-04-28 14:00,48-201-1034,29.767997,-95.220582,48-201-1034,Texas,76.9,773.1149,296.09424,1.0747678,295.530998,2.761088268,37.33,287.48889,8248322,14834,11.86836066,10
2019-08-30 14:00,49-021-0005,37.74743,-113.055525,49-021-0005,Utah,49.8,30.473043,291.34647,-0.05,216.6099441,3.471813053,34.48,101.00961,937421,12540,7.717897401,7.2
2019-06-07 22:00,35-013-0016,32.003712,-106.599715,35-013-0016,New Mexico,9.8,3871.4421,309.28168,0.33229464,200.272236,3.71636715,31.99,44.806827,655766,9336,11.85333869,14
2019-06-05 23:00,06-019-0500,36.985119,-119.658339,06-019-0500,California,24.6,2125.466,309.63507,0.06381762,143.6277036,2.35281093,32.71,657.080463,15065827,16914,9.575161994,12
2019-01-29 19:00,41-025-0003,43.58925,-119.04872,41-025-0003,Oregon,52.3,370.51266,275.7688,0.14511593,333.2482971,4.108368547,48.51,113.700561,1488623,6188,9.897718658,6.5
2019-05-03 21:00,06-083-2004,34.63782,-120.4575,06-083-2004,California,69.1,194.39896,292.84695,0.23257904,134.303728,6.286197257,32.71,657.080463,15065827,16914,7.074128852,14
2019-01-26 19:00,48-201-1034,29.767997,-95.220582,48-201-1034,Texas,59.9,1522.9598,290.47943,0.8987627,340.1894588,2.355006388,37.33,287.48889,8248322,14834,8.924349979,7
2019-05-08 17:00,42-003-1376,40.43743,-79.863572,42-003-1376,Pennsylvania,58.7,795.5419,294.0134,0.24074738,48.40102162,2.572361362,58.6,740.996139,4424183,11376,6.675501492,9
2019-03-24 18:00,11-001-0043,38.921847,-77.013178,11-001-0043,Maryland,20.1,1041.2103,289.77402,0.42415017,256.0491243,3.491080652,39.36,1613.304771,1922462,9951,5.331880065,3
2019-09-07 16:00,49-035-4002,40.662878,-111.901188,49-035-4002,Utah,48.7,455.38873,296.40338,0.54790854,96.03764846,0.8177801,34.48,101.00961,937421,12540,14.28616253,9.3
2019-07-19 17:00,48-043-0101,29.30265,-103.17781,48-043-0101,Texas,43.9,934.02747,302.55258,0.29646176,252.6673022,2.960109824,37.33,287.48889,8248322,14834,11.84919051,10
2019-03-17 23:00,06-073-1201,33.362593,-117.09023,06-073-1201,California,30.6,477.10318,299.83386,0.019276943,193.8866641,5.731961653,32.71,657.080463,15065827,16914,16.84983088,8
2019-05-30 17:00,06-061-0003,38.93568,-121.09959,06-061-0003,California,59.3,223.0737,293.08643,0.25469524,236.684432,1.300935318,32.71,657.080463,15065827,16914,7.934071487,5
2019-07-27 17:00,06-061-0003,38.93568,-121.09959,06-061-0003,California,46.4,126.88376,301.489,0.23126902,159.1589713,3.067500422,32.71,657.080463,15065827,16914,11.17177652,16
2019-07-09 22:00,06-065-0010,33.747236,-115.820124,06-065-0010,California,8.6,1218.0894,305.04807,-0.00060454,252.7527292,5.099191617,32.71,657.080463,15065827,16914,4.538089205,4
2019-07-06 14:00,48-043-0101,29.30265,-103.17781,48-043-0101,Texas,46.4,202.15578,299.4554,0.3161891,244.3291141,1.325854692,37.33,287.48889,8248322,14834,15.60134127,20
2019-07-14 23:00,42-003-1376,40.43743,-79.863572,42-003-1376,Pennsylvania,49.3,1347.3398,300.38242,0.11305897,156.2966126,2.88165324,58.6,740.996139,4424183,11376,8.220582341,14
2019-01-04 21:00,40-115-9007,36.985702,-94.83931,40-115-9007,Oklahoma,46,446.29083,284.19373,-0.05,193.2915995,2.811452732,28.8,149.442423,1296219,8506,3.503430556,3
2019-03-24 19:00,35-001-0023,35.1343,-106.5852,35-001-0023,New Mexico,27.300001,2150.9878,287.93756,0.3576474,213.8054378,2.444214571,31.99,44.806827,655766,9336,3.837429324,2.7
2019-02-20 20:00,48-201-1034,29.767997,-95.220582,48-201-1034,Texas,51.600002,520.58136,289.84845,0.22880308,100.0506977,2.695929708,37.33,287.48889,8248322,14834,6.734287278,4
2019-01-04 23:00,06-079-2004,35.02083,-120.56388,06-079-2004,California,71.3,404.65527,286.76117,-0.003609881,176.2977441,4.546832892,32.71,657.080463,15065827,16914,7.575731888,7
2019-06-14 17:00,35-001-1013,35.19324,-106.613815,35-001-1013,New Mexico,18.7,3022.4646,303.63272,0.616569,249.2777628,4.94085166,31.99,44.806827,655766,9336,5.967465674,5.6
2019-06-15 19:00,06-019-0500,36.985119,-119.658339,06-019-0500,California,38.3,638.3598,301.04944,0.17601699,190.2062489,3.338988998,32.71,657.080463,15065827,16914,10.46861965,13
2019-07-17 21:00,48-303-1028,33.58553,-101.78698,48-303-1028,Texas,26.1,2167.9548,309.04807,0.08516325,280.275328,6.693750046,37.33,287.48889,8248322,14834,8.182594487,10
2019-06-19 23:00,48-361-1100,30.194167,-93.866944,48-361-1100,Texas,71.700005,759.8942,304.2459,0.42453548,262.1380278,4.947651616,37.33,287.48889,8248322,14834,14.62444406,8
2019-09-16 16:00,11-001-0051,38.89477,-76.953426,11-001-0051,Maryland,57.3,655.26575,300.74008,0.7658342,219.5514649,0.695303304,39.36,1613.304771,1922462,9951,12.1337149,12
2019-05-15 20:00,42-101-0076,39.988842,-75.207205,42-101-0076,Pennsylvania,45,2330.3342,294.5194,0.24067034,162.6464359,3.953053607,58.6,740.996139,4424183,11376,5.38658254,6.8
2019-07-17 16:00,11-001-0041,38.895572,-76.958072,11-001-0041,Maryland,62.5,1112.8892,305.1523,0.35703093,280.8386255,1.941069912,39.36,1613.304771,1922462,9951,12.87086083,17
2019-04-21 23:00,48-201-1034,29.767997,-95.220582,48-201-1034,Texas,56.5,972.35315,297.89798,0.0721401,301.7887883,5.155768288,37.33,287.48889,8248322,14834,5.992805556,7
